2026-01-19 10:16:24,488 | DEBUG | selenium.webdriver.remote.remote_connection | POST http://127.0.0.1:55918/session/44ed93cb1ec6f7ecaec73fd6fcaea2e2/element/f.C417680C97CAF2A203EB0E04006C7240.d.E4C6EFC0D2ED37634E84BC93B387ADA2.e.79/element {"using": "css selector", "value": ".ipc-title__text", "id": "f.C417680C97CAF2A203EB0E04006C7240.d.E4C6EFC0D2ED37634E84BC93B387ADA2.e.79"}
2026-01-19 10:16:24,492 | DEBUG | urllib3.connectionpool | http://127.0.0.1:55918 "POST /session/44ed93cb1ec6f7ecaec73fd6fcaea2e2/element/f.C417680C97CAF2A203EB0E04006C7240.d.E4C6EFC0D2ED37634E84BC93B387ADA2.e.79/element HTTP/1.1" 200 127
2026-01-19 10:16:24,492 | DEBUG | selenium.webdriver.remote.remote_connection | Finished Request
2026-01-19 10:16:24,492 | DEBUG | selenium.webdriver.remote.remote_connection | GET http://127.0.0.1:55918/session/44ed93cb1ec6f7ecaec73fd6fcaea2e2/element/f.C417680C97CAF2A203EB0E04006C7240.d.E4C6EFC0D2ED37634E84BC93B387ADA2.e.333/text {"id": "f.C417680C97CAF2A203EB0E04006C7240.d.E4C6EFC0D2ED37634E84BC93B387ADA2.e.333"}
2026-01-19 10:16:24,498 | DEBUG | urllib3.connectionpool | http://127.0.0.1:55918 "GET /session/44ed93cb1ec6f7ecaec73fd6fcaea2e2/element/f.C417680C97CAF2A203EB0E04006C7240.d.E4C6EFC0D2ED37634E84BC93B387ADA2.e.333/text HTTP/1.1" 200 42
2026-01-19 10:16:24,498 | DEBUG | selenium.webdriver.remote.remote_connection | Finished Request
2026-01-19 10:16:24,498 | DEBUG | selenium.webdriver.remote.remote_connection | POST http://127.0.0.1:55918/session/44ed93cb1ec6f7ecaec73fd6fcaea2e2/element/f.C417680C97CAF2A203EB0E04006C7240.d.E4C6EFC0D2ED37634E84BC93B387ADA2.e.79/element {"using": "css selector", "value": ".ipc-rating-star--rating", "id": "f.C417680C97CAF2A203EB0E04006C7240.d.E4C6EFC0D2ED37634E84BC93B387ADA2.e.79"}
2026-01-19 10:16:24,503 | DEBUG | urllib3.connectionpool | http://127.0.0.1:55918 "POST /session/44ed93cb1ec6f7ecaec73fd6fcaea2e2/element/f.C417680C97CAF2A203EB0E04006C7240.d.E4C6EFC0D2ED37634E84BC93B387ADA2.e.79/element HTTP/1.1" 200 127
2026-01-19 10:16:24,503 | DEBUG | selenium.webdriver.remote.remote_connection | Finished Request
2026-01-19 10:16:24,503 | DEBUG | selenium.webdriver.remote.remote_connection | GET http://127.0.0.1:55918/session/44ed93cb1ec6f7ecaec73fd6fcaea2e2/element/f.C417680C97CAF2A203EB0E04006C7240.d.E4C6EFC0D2ED37634E84BC93B387ADA2.e.334/text {"id": "f.C417680C97CAF2A203EB0E04006C7240.d.E4C6EFC0D2ED37634E84BC93B387ADA2.e.334"}
2026-01-19 10:16:24,508 | DEBUG | urllib3.connectionpool | http://127.0.0.1:55918 "GET /session/44ed93cb1ec6f7ecaec73fd6fcaea2e2/element/f.C417680C97CAF2A203EB0E04006C7240.d.E4C6EFC0D2ED37634E84BC93B387ADA2.e.334/text HTTP/1.1" 200 15
2026-01-19 10:16:24,508 | DEBUG | selenium.webdriver.remote.remote_connection | Finished Request
